"","V1"
"1000301298","1"
"1000301308","1"
"1000301318","1"
"1000301328","1"
"1000301338","1"
"1000401368","3"
"1000401378","3"
"1000501278","3"
"1000501308","3"
"1000501318","3"
"1000501368","3"
"1000501378","3"
"1000501398","3"
"1000601178","1"
"1000601188","1"
"1000601198","1"
"1000601208","1"
"1000601218","1"
"1000601228","1"
"1000601248","1"
"1000601268","1"
"1000601278","1"
"1000601288.rs","1"
"1000601298","1"
"1000601308","1"
"1000601318","1"
"1000601328","1"
"1000601338","1"
"1000601348","1"
"1000601358","1"
"1000601368","1"
"1000601378","1"
"1000601388","1"
"1000601398","1"
"1000801248","2"
"1000801258","2"
"1000801268","2"
"1000801278","2"
"1000801288","2"
"1000801298","2"
"1000801308","2"
"1000801318","2"
"1000801338","2"
"1000801348","2"
"1000801358","2"
"1000801368","2"
"1000801378.rs","2"
"1000801388","2"
"1000801398","2"
"1000901308","3"
"1000901318","3"
"1000901328","4"
"1000901338","3"
"1000901348","3"
"1000901368","4"
"1000901388","3"
"1000901398","3"
"1000901408","3"
"1001101338","1"
"1001301158","4"
"1001301168","4"
"1001301178","4"
"1001301188","4"
"1001301218","4"
"1001301238","4"
"1001301248","4"
"1001301258","4"
"1001301268","4"
"1001301278","4"
"1001301288","4"
"1001301298.rs","4"
"1001301308","4"
"1001301318.rs","4"
"1001301328","1"
"1001301338","1"
"1001301348.rs","5"
"1001401208","3"
"1001401218","3"
"1001401228","3"
"1001401258","3"
"1001401268","3"
"1001401278","3"
"1001401288","3"
"1001401308","3"
"1001401318","3"
"1001401328.rs","4"
"1001401338","3"
"1001401348","3"
"1001401358","3"
"1001401368","3"
"1001601278","1"
"1001601288","1"
"1001601308","4"
"1001601318","4"
"1001601328","1"
"1001601338","4"
"1001601348","1"
"1001601358","1"
"1001601368","1"
"1001701188","4"
"1001701268","4"
"1001701278","3"
"1001701288","3"
"1001701298","3"
"1001701318","3"
"1001701328","3"
"1001701338","3"
"1001701348","3"
"1001701358","3"
"1001701368","3"
"1001801118","4"
"1001801128.rs","4"
"1001801138","4"
"1001801148","4"
"1001801158","4"
"1001801168","4"
"1001801178","4"
"1001801188","4"
"1001801198.rs","4"
"1001801208","4"
"1001801218","4"
"1001801228","4"
"1001801238","4"
"1001801248","4"
"1001801258.rs","4"
"1001801278","1"
"1001801298","4"
"1001801308.rs","4"
"1001801318","4"
"1001801328","4"
"1001801338","4"
"1001801348","4"
"1002001198","4"
"1002001228","3"
"1002001268","3"
"1002001278","4"
"1002001288","3"
"1002001308","3"
"1002001318","3"
"1002001328","3"
"1002001338","3"
"1002001348","4"
"1002001358","3"
"1002001368","3"
"1002001378","3"
"1002101138","3"
"1002101148","3"
"1002101158","3"
"1002101168","3"
"1002101178","3"
"1002101188","3"
"1002101198","3"
"1002101208","3"
"1002101228","3"
"1002101238","3"
"1002101248","3"
"1002101258","3"
"1002101268","3"
